model,dataset,RMSE,MAE,Spearman,NDCG@20,Hit@20
LightGBM,baseline,2.483411,1.926974,0.263773,0.736456,1.0
LightGBM,newfe,2.118907,1.5961,0.440594,0.832392,1.0
LightGBM,newfe_v2,2.111226,1.593211,0.441408,0.836137,1.0
XGBoost,baseline,2.485435,1.92982,0.263278,0.73571,1.0
XGBoost,newfe,2.118672,1.595209,0.436856,0.830769,1.0
XGBoost,newfe_v2,2.107257,1.584793,0.445384,0.835994,1.0
ElasticNet,baseline,2.491404,1.937534,0.262443,0.728438,1.0
ElasticNet,newfe,2.126477,1.610742,0.435156,0.829786,1.0
ElasticNet,newfe_v2,2.122915,1.607334,0.437297,0.832185,1.0
