fold,RMSE,MAE,Spearman,NDCG@20,Hit@20
1,2.106287,1.575781,0.456113,0.839227,1.0
2,2.069784,1.559565,0.4269,0.845324,1.0
3,2.194665,1.614529,0.437347,0.842374,1.0
4,2.133451,1.59527,0.435557,0.836357,1.0
5,2.139792,1.599084,0.427484,0.839764,1.0
