model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Spearman_mean,Spearman_std,NDCG@20_mean,NDCG@20_std,Hit@20_mean,Hit@20_std
XGBoost_tuned,2.070177,0.042354,1.540251,0.021228,0.47284,0.008232,0.839912,0.003965,1.0,0.0
FlatMLP,2.084828,0.04874,1.555477,0.027034,0.460215,0.006208,0.839211,0.003154,1.0,0.0
BlockWiseMLP,2.070041,0.041654,1.542252,0.016512,0.47199,0.009474,0.83948,0.003229,1.0,0.0
ResidualMLP,2.070897,0.049516,1.531254,0.021085,0.471264,0.008533,0.84096,0.004337,1.0,0.0
