model,fold,RMSE,MAE,Spearman,NDCG@20,Hit@20
GCN,1,1.4052633002832116,1.0303301811218262,0.8472091583821069,0.958123905188698,1.0
GCN,2,1.4206763444609964,1.0505629777908325,0.8263974360730699,0.953632414484308,1.0
GCN,3,1.5107505516999389,1.0875234603881836,0.8253585320515677,0.9559264347248765,1.0
GCN,4,1.4438046399630755,1.0474607944488525,0.8383267876405972,0.9506149749221486,1.0
GCN,5,1.441206590010298,1.0500677824020386,0.8382057183718634,0.9575621494490708,1.0
GCN,mean,1.444340285283504,1.0531890392303467,0.835099526503841,0.9551719757538205,1.0
GCN,spearman_std,,,0.008213649339695902,,
