model,fold,RMSE,MAE,Spearman,NDCG@20,Hit@20
GCN,1,2.745603167583621,2.2552809715270996,0.18065764097853426,0.7073114177868294,0.9655172413793104
GCN,2,2.3930998315132754,1.9018267393112183,0.34147912581600826,0.7709240798270449,1.0
GCN,3,2.516067750246031,2.068880319595337,0.22400296375206258,0.7437980108098421,1.0
GCN,4,2.479230628804675,2.001264810562134,0.3999780851924369,0.8492927697225862,1.0
GCN,5,2.6224417254698165,2.1250712871551514,0.12180033213768872,0.7174133032883837,1.0
GCN,mean,2.5512886207234837,2.070464825630188,0.25358362957534614,0.7577479162869373,0.993103448275862
GCN,spearman_std,,,0.1026810673705039,,
