model,fold,RMSE,MAE,Spearman,NDCG@20,Hit@20
GCN,1,2.853896265145584,2.380140542984009,0.11050581507899572,0.6974893081025919,0.9655172413793104
GCN,2,2.4624822703076648,1.9816569089889526,0.30118696810468615,0.7533254520493595,1.0
GCN,3,2.599773811625263,2.121070623397827,0.19432587928471806,0.7422585629479398,1.0
GCN,4,2.58305719396913,2.110037326812744,0.3261830208547759,0.8307596203716198,1.0
GCN,5,2.721119954861663,2.2166500091552734,0.03255546288567688,0.7278869316464759,1.0
GCN,mean,2.644065899181861,2.1619110822677614,0.19295142924177053,0.7503439750235974,0.993103448275862
GCN,spearman_std,,,0.11134776451063863,,
