sample_id,canonical_drug_id,pred_xgb,pred_residualmlp,pred_gcn,ensemble_score,rank,is_top100
HCC1187,1043,0.6556668877601624,2.3069424629211426,4.783302307128906,1.9765766441822055,8169,False
MDA-MB-436,416,0.8211526274681091,3.6312878131866455,2.378382444381714,1.975639146566391,8170,False
MDA-MB-436,2109,0.8211526274681091,3.6312878131866455,2.376197338104248,1.9752021253108978,8171,False
HCC1419,406,0.11157553642988205,3.688840627670288,4.060049533843994,1.9744498632848264,8172,False
MDA-MB-436,1422,0.8211526274681091,3.6312878131866455,2.3621628284454346,1.972395223379135,8173,False
HCC1187,2000,0.6556668877601624,2.3069424629211426,4.753807544708252,1.9706776916980746,8174,False
HCC1187,290,0.6556668877601624,2.3069424629211426,4.753769874572754,1.9706701576709749,8175,False
HCC1419,1251,0.11157553642988205,3.688840627670288,4.039687156677246,1.9703773878514768,8176,False
HCC1419,1194,0.11157553642988205,3.688840627670288,4.037483215332031,1.9699365995824338,8177,False
HCC1419,1629,0.11157553642988205,3.688840627670288,4.0349931716918945,1.9694385908544065,8178,False
HCC1419,176,0.11157553642988205,3.688840627670288,4.0239081382751465,1.9672215841710567,8179,False
HCC1428,1930,1.1782171726226807,4.219289302825928,0.5614567995071411,1.9671867370605467,8180,False
HCC1187,415,0.6556668877601624,2.3069424629211426,4.736349582672119,1.9671860992908479,8181,False
MDA-MB-436,1413,0.8211526274681091,3.6312878131866455,2.336033344268799,1.967169326543808,8182,False
MDA-MB-436,1446,0.8211526274681091,3.6312878131866455,2.3293869495391846,1.9658400475978852,8183,False
HCC1428,363,1.1782171726226807,4.219289302825928,0.5516282320022583,1.9652210235595702,8184,False
HCC1419,304,0.11157553642988205,3.688840627670288,4.0120134353637695,1.9648426435887814,8185,False
HCC1419,2111,0.11157553642988205,3.688840627670288,4.002233982086182,1.9628867529332639,8186,False
MDA-MB-436,1826,0.8211526274681091,3.6312878131866455,2.314110040664673,1.9627846658229828,8187,False
HCC1419,1996,0.11157553642988205,3.688840627670288,3.9952330589294434,1.9614865683019163,8188,False
HCC1419,552,0.11157553642988205,3.688840627670288,3.9931957721710205,1.9610791109502317,8189,False
